attributes.Outdoor Seating,attributes.Music.dj,attributes.Parking.validated,type,attributes.Ambience.intimate,longitude,attributes.Take-out,hours.Sunday.open,attributes.Good For Dancing,attributes.Ambience.divey,attributes.Ambience.trendy,hours.Thursday.open,attributes.Price Range,attributes.Parking.garage,hours.Friday.open,full_address,attributes.Accepts Credit Cards,attributes.Parking.lot,attributes.Parking.street,attributes.Coat Check,attributes.Good For.lunch,attributes.Wi-Fi,attributes.Ambience.casual,hours.Monday.close,neighborhoods,attributes.Happy Hour,attributes.Noise Level,state,attributes.Smoking,hours.Tuesday.open,attributes.Good For.dinner,attributes.Ambience.hipster,attributes.Attire,open,hours.Friday.close,hours.Tuesday.close,hours.Thursday.close,attributes.Has TV,attributes.Drive-Thru,stars,attributes.Ambience.touristy,attributes.Alcohol,hours.Saturday.open,categories,hours.Wednesday.close,attributes.Ambience.upscale,hours.Saturday.close,attributes.Takes Reservations,hours.Wednesday.open,review_count,attributes.Ambience.romantic,business_id,name,attributes.Delivery,attributes.Caters,attributes.Good For.latenight,attributes.Parking.valet,attributes.Good For.breakfast,attributes.Good for Kids,city,hours.Monday.open,hours.Sunday.close,attributes.Ambience.classy,attributes.Waiter Service,attributes.Good For Groups,latitude,attributes.Good For.dessert,attributes.Good For.brunch
False,,False,b'business',False,-79.9007057,True,,,False,False,b'11:00',1,False,b'11:00',"b'4734 Lebanon Church Rd\nDravosburg, PA 15034'",True,False,False,,False,,False,b'21:00',[],,b'average',b'PA',,b'11:00',False,False,b'casual',True,b'21:00',b'21:00',b'21:00',False,False,3.5,False,b'none',,b'Food',b'21:00',False,,False,b'11:00',7,False,b'3FUUb4SjXJc5BkZr2Jpgdg',b'Mr Hoagie',False,False,False,False,False,True,b'Dravosburg',b'11:00',,False,False,True,40.3543266,False,False
False,,,b'business',,-79.8868138,,,,,,,1,,,"b'202 McClure St\nDravosburg, PA 15034'",True,,,,,,,,[],True,,b'PA',,,,,,True,,,,,,3.0,,,,b'Entertainment',,,,,,5,,b'QjMZ3Gt4c-vS2uVUWQrVbw',"b""Clancy's Pub""",,,,,,,b'Dravosburg',,,,,True,40.3505527,,
,,,b'business',,-80.0146597,,,,,,,,,,"b'1530 Hamilton Rd\nBethel Park, PA 15234'",,,,,,,,,[],,,b'PA',,,,,,False,,,,,,2.5,,,,b'Sports',,,,,,5,,b'WY6FFxpa6ztwDH5OhS6WDw',b'Cool Springs Golf Center',,,,,,True,b'Bethel Park',,,,,,40.3541155,,
False,False,False,b'business',False,-79.8662107,True,,False,True,False,b'10:00',2,False,b'10:00',"b'414 Hawkins Ave\nBraddock, PA 15104'",True,False,False,False,True,b'no',False,,[],False,b'average',b'PA',b'no',b'10:00',False,False,b'casual',True,b'20:00',b'19:00',b'19:00',True,,4.5,False,b'full_bar',b'10:00',b'Bar',b'19:00',False,b'16:00',False,b'10:00',26,False,b'mVHrayjG3uZ_RLHkLj-AMg',"b""Emil's Lounge""",False,True,False,False,False,True,b'Braddock',,,False,True,True,40.4088301,False,False
,,False,b'business',,-79.8557821,,b'10:00',,,,b'11:00',,False,b'11:00',"b'1000 Clubhouse Dr\nBraddock, PA 15104'",True,False,False,,,,,,[],,,b'PA',,,,,,True,b'20:00',,b'20:00',,,5.0,,,b'11:00',b'Sports',b'20:00',,b'20:00',True,b'11:00',3,,b'mYSpR_SLPgUVymYOvTQd_Q',b'Grand View Golf Club',,,,False,,True,b'Braddock',,b'15:00',,,True,40.4034049,,
True,False,False,b'business',False,-80.0675491,True,b'12:00',False,False,False,b'11:00',1,False,b'11:00',"b'141 Hawthorne St\nGreentree\nCarnegie, PA 15106'",True,True,False,False,False,b'free',True,b'02:00',['Greentree'],True,b'loud',b'PA',b'outdoor',b'11:00',True,False,b'casual',True,b'02:00',b'02:00',b'02:00',True,,4.0,False,b'full_bar',b'12:00',b'Bar',b'02:00',False,b'02:00',False,b'11:00',23,False,b'WY6FFxpa6ztwDH5OhS6WDw',"b""Alexion's Bar & Grill""",False,False,False,False,False,False,b'Carnegie',b'11:00',b'22:00',False,True,True,40.4154859,False,False
,,,b'business',,-80.0844539,,,,,,b'07:30',,,b'07:30',"b'718A Hope Hollow Rd\nCarnegie, PA 15106'",True,,,,,,,b'18:00',[],,,b'PA',,b'07:30',,,,True,b'18:00',b'18:00',b'18:00',,,2.5,,,b'07:30',b'Vehicle',b'18:00',,b'16:00',,b'07:30',9,,b'b12U9TFESStdy7CsTtcOeg',"b""Flynn's Tire & Auto Service""",,,,,,,b'Carnegie',b'07:30',,,,,40.394588,,
,,,b'business',,-80.0762665,,,,,,,,,,"b'920 Forsythe Rd\nCarnegie\nCarnegie, PA 15106'",,,,,,,,,['Carnegie'],,,b'PA',,,,,,False,,,,,,4.0,,,,b'Sports',,,,,,4,,b'Sktj1eHQFuVa-M4bgnEh8g',b'Forsythe Miniature Golf & Snacks',,,,,,True,b'Carnegie',,,,,,40.4054039,,
,,,b'business',,-80.0903905,,,,,,,,,,"b'8 Logan St\nCarnegie\nCarnegie, PA 15106'",,,,,,,,,['Carnegie'],,,b'PA',,,,,,True,,,,,,2.5,,,,b'Home',,,,,,3,,b'3ZVKmuK2l7uXPE6lXY4Dbg',b'Quaker State Construction',,,,,,,b'Carnegie',,,,,,40.4062805,,
,,,b'business',,-80.0691338,,,,,,,,,,"b'2080 Greentree Rd\nPittsburgh, PA 15220'",,,,,,,,,[],,,b'PA',,,,,,True,,,,,,4.0,,,,b'Pets',,,,,,7,,b'QoDa50dc7g62xciFygXB9w',b'Greentree Animal Clinic',,,,,,,b'Pittsburgh',,,,,,40.3922071,,
