business_id,stars,city,categories,review_count
1IxCNVVW9aKbK3BfQpI7eg,3,Madison,"[Doctors, Cosmetic Surgeons, Beauty & Spas, Laser Hair Removal, Health & Medical, Hair Removal, Dermatologists",4
_rQ9qSeHZ4l4M5uqj1TFCQ,4.5,Madison,"[Event Planning & Services, Caterers",15
h8sRoUSjulDu9MfeUTEu6Q,2.5,Madison,"[Lighting Fixtures & Equipment, Electronics, Musical Instruments & Teachers, Shopping, Home Services",16
xm1RtU63jxjYsm-7dzGaZA,2.5,Madison,"[Womens Clothing, Mens Clothing, Fashion, Shopping",7
XCfRPJ9UCgd1dPkzXRsjPw,4,Madison,"[Tires, Automotive, Auto Customization, Auto Repair, Oil Change Stations",4
YypLpwWA75Y9aWPCJwTv8g,4,Madison,"[Banks & Credit Unions, Financial Services",6
thLlxJSlGr8hu7Lw21eGiQ,4,Madison,"[Breakfast & Brunch, Cafes, Restaurants",3
DUcKVY_q2nu7rhTpEcQ-JQ,3.5,Madison,"[Landmarks & Historical Buildings, Public Services & Government",3
7VZzocjvnjsrY0biSlV0hQ,1.5,Madison,"[Department Stores, Fashion, Shopping",3
j1ezGpPI4vmqBLwyyLIsNA,2.5,Madison,"[Music & DVDs, Books, Mags, Music & Video, Shopping",4
0ilWo2kWlmP_Nv-P2rcNOA,4.5,Madison,"[Food, Coffee & Tea",13
5FlmcwCLqFveKQ-GVeolig,4,Madison,"[Department Stores, Fashion, Shopping",11
vM3bqegx5YDtWQ8N5ke3BA,3,Madison,"[Beauty & Spas, Nail Salons",5
oX6KamASYXnMIe5kpVhezw,3.5,Madison,"[Chinese, Restaurants",42
TEmZrRoun4ws7GMAbMpQUw,4,Madison,"[Womens Clothing, Mens Clothing, Fashion, Shopping, Childrens Clothing",5
pcRVuHC1RXOkLQJ_haePGQ,2.5,Madison,"[Electronics, Shopping, Mobile Phones",5
XearczK-Bd83Td1Giwu0Zg,4.5,Madison,"[Fast Food, Restaurants",3
OYZOzzipfXdWrYe1A2zeKw,3,Madison,"[Food, Coffee & Tea, Art Galleries, Shopping, Arts & Entertainment",13
NxxplxNZnrNEYXHTgv9h8g,5,Madison,"[Videos & Video Game Rental, Books, Mags, Music & Video, Shopping",3
S4TWo9X6b3gU6uucj4JN3g,3.5,Madison,"[Mexican, Restaurants",31
xZwaUcrFMSY1O9dK2dAUpA,3,Madison,"[Chinese, Restaurants",30
89O2bCyo92IpEEvgFXqOMw,3.5,Madison,"[Delis, Sandwiches, Restaurants",3
qQvpS262VPEHKZvM6j5uhQ,2.5,Madison,"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife",19
XWDk-pLSbVE2Vvv9Z-zusQ,1.5,Madison,"[Fast Food, Restaurants",21
NP5ip6oP6O57wjnnEy0P2w,2.5,Madison,"[Bars, Nightlife",4
T9l9Z3FKMSCIYvsP2g4efw,5,Madison,"[Hair Salons, Beauty & Spas",16
fBSd-fl9-9LkitwrFRcBng,2,Madison,"[Arts & Crafts, Shopping, Fabric Stores, Home & Garden, Home Decor",13
90BO7ydPjDU8C8izlmmhrw,4.5,Madison,"[Reflexology, Health & Medical",3
ybkWtM1ZnT2ewuquj3A9KQ,3,Madison,"[Restaurants, Italian",36
GQN1Y9iC8rfxMKKo2lEiug,2.5,Madison,"[Hotels & Travel, Event Planning & Services, Hotels",13
MHPJoUzvIT4aTKOG2elw3Q,2.5,Madison,"[Department Stores, Fashion, Shopping",11
zAsxPh3h9xMQnSDGl41kSg,3.5,Madison,"[Bars, Burgers, Sandwiches, Nightlife, Sports Bars, Restaurants",23
f5ntGOT9_0pCdeUaUVi9cg,3.5,Madison,"[Arts & Entertainment, Performing Arts",19
0FdNeZAx-afgg8HV9oyqSw,4,Madison,"[Food, Ice Cream & Frozen Yogurt",11
XStsiplxlx8Guqf-oV5LAw,4.5,Madison,"[Auto Repair, Automotive",5
YSXuWnwzfC7EN2ZMB_A2Ng,3.5,Madison,"[Department Stores, Fashion, Shopping",5
SNaDmoUyl-X3bE8GM5hJ4w,4,Madison,"[Optometrists, Health & Medical",3
bIDAOpeNv4b9qtMHqz3Euw,1.5,Madison,"[Hotels & Travel, Car Rental",6
bdGTQEb8rtHhdUCvrb0sLg,1.5,Madison,"[Auto Repair, Automotive, Tires, Oil Change Stations",4
Wk8sSxmxDdj_n4WJJRRLwQ,3,Madison,"[Hotels & Travel, Event Planning & Services, Hotels",9
7DG41ejpSiTI-qDyBYFxwQ,4,Madison,"[Local Services, Shoe Repair",9
lNE3gOMb724YPlZAA8WlXQ,3,Madison,"[Breakfast & Brunch, American (Traditional), Diners, Restaurants",13
cpGv6ES2hzPCtCUQgipwXw,4,Madison,"[Sandwiches, Cajun/Creole, Seafood, Restaurants",58
V5S43vHLhHxKCb06Jwa3vw,5,Madison,"[Veterinarians, Pets",8
sbZJhAJZuVkTXtolb9Zdyg,1.5,Madison,"[Hotels & Travel, Event Planning & Services, Hotels",6
wPidHd5FxspPRgVqdEQ-Xw,2.5,Madison,"[Mexican, Restaurants",73
9hf_gSaDn3cdLsE6vTsUfw,4,Madison,"[Chinese, Restaurants",11
Z93nRPr4suUxo63pJR9dkw,4.5,Madison,"[Local Services, Dry Cleaning & Laundry",5
yYIEKwgQUHJpySOcVdCAkg,3,Madison,"[American (Traditional), Cafes, Restaurants",20
pSiRWeCqs7a1xvS9ycLoTQ,2.5,Madison,"[Chinese, Restaurants",7
oepqORGAqs3etUD9wwr1uQ,3,Madison,"[Fashion, Shopping, Books, Mags, Music & Video, Lingerie, Adult, Bookstores",7
QF14BFUVHRODxGNVflgm3A,3,Madison,"[Breakfast & Brunch, American (Traditional), Southern, Restaurants",25
wsZbADFzxyn8_UBNRJ8kkw,3.5,Madison,"[Department Stores, Fashion, Shopping",6
5TQQy_x_ArR3_5L5L0fFVQ,3.5,Madison,"[Hotels & Travel, Taxis, Airport Shuttles, Transportation",47
11yg-JMNCFowyIjJarzuDQ,3,Madison,"[American (New), Restaurants",8
R6ojvMJvskHGBbtednMQ1g,4,Madison,"[Hotels & Travel, Car Rental",15
q83uB6EGF6y2MuR-7VZPRg,3,Madison,"[Food, Ice Cream & Frozen Yogurt, Fast Food, Restaurants",10
-52nir13iFnSMdBew674HA,3,Madison,"[Hardware Stores, Nurseries & Gardening, Shopping, Appliances, Home & Garden",11
bYdniNQEdYolz0onDWj0CA,2.5,Madison,"[Hotels & Travel, Event Planning & Services, Hotels",12
