business_id,stars,city,categories,review_count
1IxCNVVW9aKbK3BfQpI7eg,3,Madison,PersonalCare,4
_rQ9qSeHZ4l4M5uqj1TFCQ,4.5,Madison,Events,15
h8sRoUSjulDu9MfeUTEu6Q,2.5,Madison,Home,16
xm1RtU63jxjYsm-7dzGaZA,2.5,Madison,Shopping,7
XCfRPJ9UCgd1dPkzXRsjPw,4,Madison,Vehicle,4
YypLpwWA75Y9aWPCJwTv8g,4,Madison,Bank,6
thLlxJSlGr8hu7Lw21eGiQ,4,Madison,Food,3
DUcKVY_q2nu7rhTpEcQ-JQ,3.5,Madison,Work,3
7VZzocjvnjsrY0biSlV0hQ,1.5,Madison,Stores,3
j1ezGpPI4vmqBLwyyLIsNA,2.5,Madison,Music,4
0ilWo2kWlmP_Nv-P2rcNOA,4.5,Madison,Food,13
5FlmcwCLqFveKQ-GVeolig,4,Madison,PersonalCare,11
vM3bqegx5YDtWQ8N5ke3BA,3,Madison,Food,5
oX6KamASYXnMIe5kpVhezw,3.5,Madison,Shopping,42
TEmZrRoun4ws7GMAbMpQUw,4,Madison,Home,5
pcRVuHC1RXOkLQJ_haePGQ,2.5,Madison,Home,5
XearczK-Bd83Td1Giwu0Zg,4.5,Madison,Food,3
OYZOzzipfXdWrYe1A2zeKw,3,Madison,Sports,13
NxxplxNZnrNEYXHTgv9h8g,5,Madison,Food,3
S4TWo9X6b3gU6uucj4JN3g,3.5,Madison,Food,31
xZwaUcrFMSY1O9dK2dAUpA,3,Madison,Bars,30
89O2bCyo92IpEEvgFXqOMw,3.5,Madison,Bars,3
qQvpS262VPEHKZvM6j5uhQ,2.5,Madison,PersonalCare,19
XWDk-pLSbVE2Vvv9Z-zusQ,1.5,Madison,Entertainment,21
NP5ip6oP6O57wjnnEy0P2w,2.5,Madison,PersonalCare,4
T9l9Z3FKMSCIYvsP2g4efw,5,Madison,Food,16
fBSd-fl9-9LkitwrFRcBng,2,Madison,Hotels,13
90BO7ydPjDU8C8izlmmhrw,4.5,Madison,Bars,3
ybkWtM1ZnT2ewuquj3A9KQ,3,Madison,Entertainment,36
GQN1Y9iC8rfxMKKo2lEiug,2.5,Madison,Food,13
MHPJoUzvIT4aTKOG2elw3Q,2.5,Madison,Vehicle,11
zAsxPh3h9xMQnSDGl41kSg,3.5,Madison,PersonalCare,23
f5ntGOT9_0pCdeUaUVi9cg,3.5,Madison,Hotels,19
0FdNeZAx-afgg8HV9oyqSw,4,Madison,Vehicle,11
XStsiplxlx8Guqf-oV5LAw,4.5,Madison,Home,5
YSXuWnwzfC7EN2ZMB_A2Ng,3.5,Madison,Food,5
SNaDmoUyl-X3bE8GM5hJ4w,4,Madison,Food,3
bIDAOpeNv4b9qtMHqz3Euw,1.5,Madison,Pets,6
bdGTQEb8rtHhdUCvrb0sLg,1.5,Madison,Home,4
Wk8sSxmxDdj_n4WJJRRLwQ,3,Madison,Food,9
7DG41ejpSiTI-qDyBYFxwQ,4,Madison,Fashion,9
lNE3gOMb724YPlZAA8WlXQ,3,Madison,Food,13
cpGv6ES2hzPCtCUQgipwXw,4,Madison,Hotels,58
V5S43vHLhHxKCb06Jwa3vw,5,Madison,Food,8
sbZJhAJZuVkTXtolb9Zdyg,1.5,Madison,Food,6
wPidHd5FxspPRgVqdEQ-Xw,2.5,Madison,Stores,73
9hf_gSaDn3cdLsE6vTsUfw,4,Madison,Bars,11
Z93nRPr4suUxo63pJR9dkw,4.5,Madison,Shopping,5
yYIEKwgQUHJpySOcVdCAkg,3,Madison,Food,20
pSiRWeCqs7a1xvS9ycLoTQ,2.5,Madison,PersonalCare,7
oepqORGAqs3etUD9wwr1uQ,3,Madison,Education,7
QF14BFUVHRODxGNVflgm3A,3,Madison,Bars,25
wsZbADFzxyn8_UBNRJ8kkw,3.5,Madison,Fashion,6
5TQQy_x_ArR3_5L5L0fFVQ,3.5,Madison,Food,47
11yg-JMNCFowyIjJarzuDQ,3,Madison,Sports,8
R6ojvMJvskHGBbtednMQ1g,4,Madison,Education,15
q83uB6EGF6y2MuR-7VZPRg,3,Madison,Shopping,10
-52nir13iFnSMdBew674HA,3,Madison,Vehicle,11
bYdniNQEdYolz0onDWj0CA,2.5,Madison,Bars,12
oudTF4EN_C8thENGiTQf-w,3,Madison,Sports,22
2_ODkEnB9dtHEeWsR_hqMw,4,Madison,Food,3
ZjwZIQM4TfFO7T7ck7FtYQ,2.5,Madison,Events,10
iyHtJGN4KtuSTUbB6fROBw,2,Madison,PersonalCare,3
fMubmh1kiGwtxAUZ-mc3wA,5,Madison,Home,4
MVFeOZVt641WBvdsRmnhPg,3.5,Madison,Pets,9
JFxTRyDQ-JhyMnDBVFzHLw,2.5,Madison,Food,4
HlnY8xWkfONz256u3Tp_Wg,4,Madison,Entertainment,4
9vgu6o1CwP5NakVkb29z0g,4.5,Madison,Home,6
QMWdcByvCYCrs7-IQyr26w,4.5,Madison,Food,23
hUS4D74YDHobcggC4-YMqw,3.5,Madison,Food,3
qTzXFsBjMmOQHeRrWnJYLg,4,Madison,Home,18
CRKM5F4MHGHvEGgI3LXy8A,2,Madison,Home,13
MFANntSgzNkjStqgB2xtHw,2,Madison,Hotels,15
JdCFcgw4yk4M1ZRhAhBIag,2.5,Madison,Stores,31
wls7FRMgIn8VlK1ji5Ms5g,3,Madison,Bars,16
311yXufoXR2dFngMHS9MFg,3,Madison,Shopping,6
QB64-PgfEUzbrOL50bJ0Bw,2.5,Madison,Entertainment,3
i9JeI7bd1qXGi15FoD45GA,3,Madison,Food,21
DPViYrvLCByFRQBl90TLsg,4.5,Madison,Shopping,14
AJx4qb4qVNcKn_3sD7_5Rw,3,Madison,Food,21
rgyvl8tNVAony634_9vFdQ,2,Madison,Shopping,11
05wYcQouBrRjxC4tqq1cug,3,Madison,Sports,3
qnfriejzSieRSAsETaC1yA,5,Madison,Food,9
v5a-Mj4eO1E--HmgwEWo7A,3,Madison,Home,37
01gRLh9-kr_ZYABrGwNxpg,3.5,Madison,Food,11
HTplzElel_F_U_qhWuDKdg,4,Madison,Food,91
izF6o43M1eWpivukmRQpRg,3,Madison,Food,8
0oQFFOdPZycIBmGkoBrlbg,3.5,Madison,Hotels,34
OizzRdTpZW7veSyjqilnQQ,4.5,Madison,Bars,3
rKIgJJKYVeCPRjUO9fOE8w,1.5,Madison,Stores,4
I1DxjqRb5MU2sDHyfzJ2fw,4.5,Madison,Food,3
_om1Y0BOPJa2va_o-f38SQ,3,Madison,Sports,3
QXpD1bSjcp-nuXm9MHMoKA,4,Madison,Education,11
Hh5lyZtOrS5LKk4YCgj8Kw,2.5,Madison,Entertainment,46
GoqN6AJD5_mZGcXHjjCxkg,2.5,Madison,Pets,3
QdSGdvZATzejDkSs435Rdw,3.5,Madison,Education,15
a933ecROIB44zhzos11YTg,3.5,Madison,Food,9
k9KL0ClKt37VZ2E6eXs32Q,3,Madison,Vehicle,7
1YEuqVtVMHdpavzoGcUUug,2,Madison,Food,18
pnr2sktG7QWWBut8dRZ27Q,3.5,Madison,Food,5
jd7yAsF-T4OlI4ejkJYJrQ,3,Madison,Events,7
MLD-FXAHLbdiHOcyeoW-Fg,4,Madison,Shopping,37
7hchHAiiUEET2eKA-unPhA,3,Madison,Entertainment,3
bAew9nt-tw8YGjjD64gVWQ,3,Madison,Events,14
7uoxZ35biPZfl8m5w2_XRA,4,Madison,Shopping,5
uzJ2Vefb951El2oneQI8NQ,3.5,Madison,Food,17
smHuQzYNOkN2CHDjLG8KBA,4,Madison,Bars,10
